Hour,Day,Zone,Event,Weather,Visitors
11,Saturday,Entrance,No,Sunny,518
15,Monday,Entrance,No,Sunny,249
11,Thursday,Entrance,No,Sunny,240
11,Monday,Foodcourt,No,Cloudy,65
13,Sunday,Foodcourt,No,Cloudy,622
9,Tuesday,Gaming Zone,No,Cloudy,145
15,Tuesday,Gaming Zone,Yes,Sunny,508
10,Sunday,Shopping area,Yes,Sunny,865
10,Sunday,Entrance,No,Sunny,532
9,Saturday,Gaming Zone,No,Sunny,341
14,Saturday,Gaming Zone,No,Cloudy,360
12,Sunday,Shopping area,No,Sunny,437
15,Monday,Shopping area,No,Sunny,249
10,Friday,Cinema,No,Sunny,191
12,Sunday,Foodcourt,No,Sunny,658
11,Thursday,Gaming Zone,No,Sunny,123
8,Thursday,Foodcourt,No,Sunny,173
9,Sunday,Foodcourt,No,Cloudy,318
9,Friday,Entrance,No,Cloudy,311
15,Saturday,Foodcourt,No,Rainy,508
12,Monday,Parking,No,Sunny,172
13,Sunday,Entrance,No,Sunny,466
11,Tuesday,Shopping area,No,Sunny,246
15,Thursday,Gaming Zone,Yes,Sunny,501
9,Thursday,Parking,No,Sunny,147
15,Wednesday,Gaming Zone,No,Sunny,121
12,Monday,Entrance,No,Sunny,280
14,Sunday,Parking,No,Sunny,428
14,Friday,Gaming Zone,No,Cloudy,199
10,Saturday,Cinema,Yes,Sunny,735
9,Thursday,Cinema,No,Cloudy,100
13,Tuesday,Entrance,No,Cloudy,274
9,Sunday,Gaming Zone,No,Sunny,277
13,Friday,Gaming Zone,No,Sunny,206
15,Saturday,Cinema,Yes,Sunny,913
8,Sunday,Foodcourt,No,Sunny,366
14,Monday,Gaming Zone,No,Cloudy,87
11,Monday,Entrance,No,Cloudy,290
9,Saturday,Gaming Zone,No,Cloudy,321
14,Monday,Entrance,No,Cloudy,258
8,Wednesday,Gaming Zone,No,Cloudy,135
11,Saturday,Shopping area,Yes,Cloudy,862
10,Monday,Parking,No,Sunny,214
